Seed Range = 1:100, Num Obs Range = 1:4
Seed	Num_obs	Full_cover	Merged_cover	Decrease	Percent_decrease
1	1	9	5	4	44.44
1	2	26	10	16	61.54
1	3	33	13	20	60.61
1	4	33	13	20	60.61
2	1	8	5	3	37.5
2	2	12	6	6	50.0
2	3	32	10	22	68.75
2	4	62	17	45	72.58
3	1	7	4	3	42.86
3	2	21	10	11	52.38
3	3	55	18	37	67.27
3	4	88	23	65	73.86
4	1	11	6	5	45.45
4	2	16	8	8	50.0
4	3	12	6	6	50.0
4	4	37	14	23	62.16
5	1	7	4	3	42.86
5	2	21	10	11	52.38
5	3	47	16	31	65.96
5	4	66	17	49	74.24
6	1	9	5	4	44.44
6	2	27	10	17	62.96
6	3	60	16	44	73.33
6	4	57	19	38	66.67
7	1	11	7	4	36.36
7	2	33	14	19	57.58
7	3	55	19	36	65.45
7	4	62	18	44	70.97
8	1	11	6	5	45.45
8	2	16	9	7	43.75
8	3	37	15	22	59.46
8	4	68	17	51	75.0
9	1	9	6	3	33.33
9	2	25	12	13	52.0
9	3	50	17	33	66.0
9	4	46	14	32	69.57
10	1	9	5	4	44.44
10	2	27	12	15	55.56
10	3	53	19	34	64.15
10	4	68	21	47	69.12
11	1	8	4	4	50.0
11	2	29	11	18	62.07
11	3	45	14	31	68.89
11	4	70	20	50	71.43
12	1	9	5	4	44.44
12	2	32	12	20	62.5
12	3	47	18	29	61.7
12	4	52	15	37	71.15
13	1	9	5	4	44.44
13	2	15	8	7	46.67
13	3	22	9	13	59.09
13	4	37	12	25	67.57
14	1	11	6	5	45.45
14	2	33	11	22	66.67
14	3	51	16	35	68.63
14	4	88	25	63	71.59
15	1	11	6	5	45.45
15	2	30	12	18	60.0
15	3	38	12	26	68.42
15	4	40	16	24	60.0
16	1	7	4	3	42.86
16	2	23	9	14	60.87
16	3	52	19	33	63.46
16	4	74	20	54	72.97
17	1	7	4	3	42.86
17	2	23	10	13	56.52
17	3	60	20	40	66.67
17	4	95	23	72	75.79
18	1	9	5	4	44.44
18	2	30	13	17	56.67
18	3	53	19	34	64.15
18	4	82	22	60	73.17
19	1	9	5	4	44.44
19	2	27	11	16	59.26
19	3	44	15	29	65.91
19	4	57	19	38	66.67
20	1	7	4	3	42.86
20	2	27	10	17	62.96
20	3	54	17	37	68.52
20	4	87	22	65	74.71
21	1	11	7	4	36.36
21	2	29	10	19	65.52
21	3	47	14	33	70.21
21	4	50	16	34	68.0
22	1	7	4	3	42.86
22	2	29	10	19	65.52
22	3	58	19	39	67.24
22	4	93	24	69	74.19
23	1	8	5	3	37.5
23	2	25	11	14	56.0
23	3	51	15	36	70.59
23	4	66	19	47	71.21
24	1	7	4	3	42.86
24	2	26	10	16	61.54
24	3	41	15	26	63.41
24	4	32	12	20	62.5
25	1	8	4	4	50.0
25	2	25	12	13	52.0
25	3	51	14	37	72.55
25	4	71	19	52	73.24
26	1	9	5	4	44.44
26	2	24	11	13	54.17
26	3	52	17	35	67.31
26	4	65	19	46	70.77
27	1	9	5	4	44.44
27	2	25	11	14	56.0
27	3	59	19	40	67.8
27	4	73	21	52	71.23
28	1	11	6	5	45.45
28	2	28	13	15	53.57
28	3	60	18	42	70.0
28	4	73	20	53	72.6
29	1	7	4	3	42.86
29	2	23	9	14	60.87
29	3	46	14	32	69.57
29	4	79	22	57	72.15
30	1	9	5	4	44.44
30	2	22	11	11	50.0
30	3	55	18	37	67.27
30	4	46	16	30	65.22
31	1	7	4	3	42.86
31	2	26	12	14	53.85
31	3	31	14	17	54.84
31	4	67	20	47	70.15
32	1	9	6	3	33.33
32	2	33	13	20	60.61
32	3	36	15	21	58.33
32	4	57	20	37	64.91
33	1	8	5	3	37.5
33	2	26	11	15	57.69
33	3	47	17	30	63.83
33	4	71	20	51	71.83
34	1	7	4	3	42.86
34	2	23	12	11	47.83
34	3	47	16	31	65.96
34	4	52	15	37	71.15
35	1	7	4	3	42.86
35	2	24	10	14	58.33
35	3	38	13	25	65.79
35	4	75	20	55	73.33
36	1	12	6	6	50.0
36	2	27	12	15	55.56
36	3	58	16	42	72.41
36	4	107	26	81	75.7
37	1	7	4	3	42.86
37	2	26	12	14	53.85
37	3	53	17	36	67.92
37	4	101	27	74	73.27
38	1	7	4	3	42.86
38	2	29	11	18	62.07
38	3	59	15	44	74.58
38	4	80	22	58	72.5
39	1	8	4	4	50.0
39	2	26	13	13	50.0
39	3	61	20	41	67.21
39	4	87	24	63	72.41
40	1	9	5	4	44.44
40	2	25	12	13	52.0
40	3	49	15	34	69.39
40	4	41	16	25	60.98
41	1	7	4	3	42.86
41	2	17	7	10	58.82
41	3	39	15	24	61.54
41	4	74	22	52	70.27
42	1	9	5	4	44.44
42	2	20	10	10	50.0
42	3	45	14	31	68.89
42	4	64	19	45	70.31
43	1	10	6	4	40.0
43	2	24	10	14	58.33
43	3	60	19	41	68.33
43	4	89	23	66	74.16
44	1	11	6	5	45.45
44	2	26	11	15	57.69
44	3	62	19	43	69.35
44	4	103	26	77	74.76
45	1	8	5	3	37.5
45	2	12	7	5	41.67
45	3	40	15	25	62.5
45	4	77	21	56	72.73
46	1	9	5	4	44.44
46	2	23	12	11	47.83
46	3	53	18	35	66.04
46	4	93	22	71	76.34
47	1	8	5	3	37.5
47	2	26	10	16	61.54
47	3	35	14	21	60.0
47	4	75	20	55	73.33
48	1	9	5	4	44.44
48	2	34	14	20	58.82
48	3	61	21	40	65.57
48	4	74	18	56	75.68
49	1	11	6	5	45.45
49	2	32	14	18	56.25
49	3	67	20	47	70.15
49	4	84	23	61	72.62
50	1	11	5	6	54.55
50	2	17	8	9	52.94
50	3	43	16	27	62.79
50	4	73	20	53	72.6
51	1	7	4	3	42.86
51	2	13	7	6	46.15
51	3	23	10	13	56.52
51	4	37	13	24	64.86
52	1	9	5	4	44.44
52	2	25	9	16	64.0
52	3	39	14	25	64.1
52	4	52	16	36	69.23
53	1	9	5	4	44.44
53	2	14	8	6	42.86
53	3	32	14	18	56.25
53	4	58	19	39	67.24
54	1	7	4	3	42.86
54	2	20	8	12	60.0
54	3	47	14	33	70.21
54	4	23	10	13	56.52
55	1	8	5	3	37.5
55	2	22	9	13	59.09
55	3	25	11	14	56.0
55	4	36	13	23	63.89
56	1	7	4	3	42.86
56	2	30	13	17	56.67
56	3	63	18	45	71.43
56	4	113	27	86	76.11
57	1	9	6	3	33.33
57	2	30	11	19	63.33
