Seed Range = 11:20, Num Obs Range = 1:4
Method = full
Seed	Num_obs	Solve_time	Rel_gap	Simplex_iterations	Nodes_explored	Num_vertices	Merged_size	Full_size	Num_free_faces	Num_free_face_inequalities
11	1	8.470685958862305	0.004564379866952562	115204.0	3534.0	17	4	8	9	0
11	2	28.88487434387207	0.00651503136476345	389068.0	10679.0	37	11	29	23	0
11	3	41.85211753845215	0.009682737021113226	541933.0	14561.0	60	14	45	41	0
11	4	180.02668380737305	0.02194597739283209	2.275069e6	59203.0	86	20	70	62	0
12	1	5.529552459716797	0.007235471132779184	68238.0	1773.0	16	5	9	9	0
12	2	15.194276809692383	0.00898548027696651	187636.0	6161.0	41	12	32	29	0
12	3	180.05162048339844	0.07088489890378052	3.214794e6	56826.0	54	18	47	42	0
12	4	26.56565284729004	0.009312477524434799	288970.0	8127.0	62	15	52	47	0
13	1	8.9837646484375	0.00019806182662114615	141587.0	3355.0	17	5	9	9	0
13	2	15.604591369628906	0.007200786404447764	270100.0	7185.0	21	8	15	13	0
13	3	75.93996810913086	0.008274363979574767	1.588863e6	32776.0	28	9	22	18	0
13	4	58.7395076751709	0.009586043085466435	946574.0	27632.0	49	12	37	35	0
14	1	6.863073348999023	0.004897590902060486	76997.0	2267.0	18	6	11	10	0
14	2	27.961122512817383	0.009819217464326607	394111.0	10570.0	39	11	33	26	0
14	3	55.13729286193848	0.009802512143843268	770304.0	15238.0	66	16	51	49	0
14	4	102.48373603820801	0.00810538957848591	1.18179e6	22675.0	99	25	88	78	0
15	1	14.736806869506836	0.007056007821164141	261826.0	6609.0	18	6	11	10	0
15	2	115.50623321533203	0.008007484564077742	2.358815e6	42246.0	39	12	30	26	0
15	3	31.42089080810547	0.009558247486726784	410936.0	12038.0	47	12	38	34	0
15	4	70.96586990356445	0.00987933490911766	1.183714e6	37634.0	53	16	40	37	0
16	1	26.832698822021484	0.0	578502.0	12302.0	16	4	7	8	0
16	2	50.01146697998047	0.009130473531029035	894059.0	23859.0	36	9	23	23	0
16	3	152.66852188110352	0.009993112282612543	2.295743e6	53140.0	65	19	52	48	0
16	4	180.0350341796875	0.10773944146385765	2.238719e6	47422.0	87	20	74	65	0
17	1	13.868513107299805	0.0074552563704844525	229798.0	4479.0	16	4	7	8	0
17	2	48.510305404663086	0.006953566622337234	921559.0	27559.0	34	10	23	21	0
17	3	180.03827667236328	0.02199996563241454	2.636537e6	75640.0	69	20	60	52	0
17	4	49.08753967285156	0.009381182014235124	481475.0	12643.0	106	23	95	82	0
18	1	12.98958969116211	0.0014324585999005643	217963.0	4828.0	17	5	9	9	0
18	2	180.02557754516602	0.05740929029864636	3.521416e6	54575.0	40	13	30	27	0
18	3	21.505277633666992	0.0043296126617043	222148.0	4501.0	62	19	53	46	0
18	4	79.58595848083496	0.00989885653486809	819796.0	26249.0	97	22	82	73	0
19	1	10.904172897338867	0.00019084060845097825	131546.0	3189.0	17	5	9	9	0
19	2	39.80153274536133	0.005315927472415631	609193.0	11869.0	38	11	27	24	0
19	3	30.198118209838867	0.008600028048751466	384798.0	11499.0	56	15	44	38	0
19	4	22.324951171875	0.009005513490468407	230015.0	6658.0	64	19	57	47	0
20	1	10.822628021240234	8.642528711448955e-6	150244.0	3916.0	15	4	7	8	0
20	2	13.803483963012695	0.009482545724100622	177586.0	5474.0	36	10	27	23	0
20	3	29.685867309570312	0.008049942401021975	326020.0	6504.0	69	17	54	48	0
20	4	93.31797790527344	0.009912152792300599	1.071045e6	28881.0	98	22	87	75	0
