Seed Range = 11:20, Num Obs Range = 1:4
Method = merged
Seed	Num_obs	Solve_time	Rel_gap	Simplex_iterations	Nodes_explored	Num_vertices	Merged_size	Full_size	Num_free_faces	Num_free_face_inequalities
11	1	8.481098175048828	0.0	148545.0	4029.0	17	4	8	9	0
11	2	14.643379211425781	0.005741927140691072	266199.0	10319.0	37	11	29	23	0
11	3	180.0425090789795	0.2803608277985103	3.184876e6	53652.0	60	14	45	41	0
11	4	80.20616722106934	0.009949530773097208	1.277465e6	28896.0	86	20	70	62	0
12	1	13.204771041870117	0.004977101596108868	189390.0	5049.0	16	5	9	9	0
12	2	177.04299354553223	0.009329341735153929	3.731821e6	78216.0	41	12	32	29	0
12	3	180.03466415405273	0.0482044678238461	3.579755e6	65758.0	54	18	47	42	0
12	4	180.05376625061035	0.08563093026710729	3.152194e6	45753.0	62	15	52	47	0
13	1	5.698657989501953	0.00971869215418203	61604.0	1542.0	17	5	9	9	0
13	2	9.240577697753906	0.006395341326961629	119812.0	3597.0	21	8	15	13	0
13	3	14.17164421081543	0.0049843120027400056	193577.0	5764.0	28	9	22	18	0
13	4	43.788103103637695	0.009564502232622191	797620.0	26537.0	49	12	37	35	0
14	1	10.08615493774414	0.006778567960407682	130116.0	3834.0	18	6	11	10	0
14	2	50.95324516296387	0.00986531417695034	934530.0	29765.0	39	11	33	26	0
14	3	82.28115463256836	0.004621648484832694	1.666184e6	29566.0	66	16	51	49	0
14	4	180.03308486938477	12.670015078161903	2.792155e6	51932.0	99	25	88	78	0
15	1	9.437496185302734	0.009281494613279718	124344.0	3753.0	18	6	11	10	0
15	2	180.04049491882324	0.536040408559627	3.334325e6	70545.0	39	12	30	26	0
15	3	81.43545532226562	0.005640773038848182	1.503182e6	38112.0	47	12	38	34	0
15	4	66.44289779663086	0.00975030443388098	1.284662e6	36495.0	53	16	40	37	0
16	1	17.494600296020508	0.004295169814458813	306429.0	5499.0	16	4	7	8	0
16	2	33.69202995300293	0.008149802168490998	599464.0	14858.0	36	9	23	23	0
16	3	180.03601455688477	0.24999877413159713	3.28462e6	58396.0	65	19	52	48	0
16	4	50.975717544555664	0.009913563159994856	880313.0	22208.0	87	20	74	65	0
17	1	19.747005462646484	3.155198941078949e-5	358791.0	8223.0	16	4	7	8	0
17	2	20.841249465942383	0.00747538071093009	321806.0	8696.0	34	10	23	21	0
17	3	21.1234188079834	0.00616948229182208	306698.0	8597.0	69	20	60	52	0
17	4	180.0409698486328	1.37370292313089	2.92426e6	45402.0	106	23	95	82	0
18	1	18.602718353271484	0.005532754493271006	314217.0	8228.0	17	5	9	9	0
18	2	15.436017990112305	0.008296505802963592	219793.0	5936.0	40	13	30	27	0
18	3	51.61245918273926	0.005750993819427825	835845.0	19669.0	62	19	53	46	0
18	4	180.0270118713379	0.015849256757836605	2.87258e6	58629.0	97	22	82	73	0
19	1	16.24637222290039	0.0034353693402174182	238744.0	5637.0	17	5	9	9	0
19	2	180.02330207824707	0.043971385871588047	3.810715e6	84643.0	38	11	27	24	0
19	3	40.636173248291016	0.008278927943905582	783537.0	21669.0	56	15	44	38	0
19	4	55.904245376586914	0.00848490243581958	901801.0	25978.0	64	19	57	47	0
20	1	7.738788604736328	0.007344561308617749	93972.0	2336.0	15	4	7	8	0
20	2	81.24453163146973	0.0013870418693155437	1.707907e6	30262.0	36	10	27	23	0
20	3	158.99785614013672	0.009226890093799976	2.501877e6	52711.0	69	17	54	48	0
20	4	121.38360977172852	0.006682237576684967	2.133593e6	29503.0	98	22	87	75	0
